communication_id,campaign_id,communication_type,client_id,send_datetime,send_date,send_hour,timing_period,experiment_group,send_status
COM00000001,CMP0001,email,C000437,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000002,CMP0001,email,C004047,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000003,CMP0001,email,C003127,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000004,CMP0001,email,C005987,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000005,CMP0001,email,C002831,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000006,CMP0001,email,C001743,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000007,CMP0001,email,C008201,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000008,CMP0001,email,C007286,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000009,CMP0001,email,C004196,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000010,CMP0001,email,C002497,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000011,CMP0001,email,C003700,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000012,CMP0001,email,C002213,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000013,CMP0001,email,C001708,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000014,CMP0001,email,C000285,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000015,CMP0001,email,C001653,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000016,CMP0001,email,C000859,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000017,CMP0001,email,C007592,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000018,CMP0001,email,C000853,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000019,CMP0001,email,C008318,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000020,CMP0001,email,C005644,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000021,CMP0001,email,C003181,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000022,CMP0001,email,C003460,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000023,CMP0001,email,C003771,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000024,CMP0001,email,C000197,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000025,CMP0001,email,C005380,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000026,CMP0001,email,C001800,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000027,CMP0001,email,C002127,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000028,CMP0001,email,C005903,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000029,CMP0001,email,C004287,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000030,CMP0001,email,C008425,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000031,CMP0001,email,C007246,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000032,CMP0001,email,C006538,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000033,CMP0001,email,C004549,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000034,CMP0001,email,C004137,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000035,CMP0001,email,C005780,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000036,CMP0001,email,C007258,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000037,CMP0001,email,C002943,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000038,CMP0001,email,C000495,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000039,CMP0001,email,C004910,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
COM00000040,CMP0001,email,C004043,2025-11-01 18:15:00,2025-11-01,18,evening,control,holdout_control
COM00000041,CMP0001,email,C001427,2025-11-01 18:15:00,2025-11-01,18,evening,test,sent
