order_id,session_id,client_id,address_id,store_id,city,platform,order_created_at,order_date,delivery_slot_start,items_count,gross_merchandise_value,discount_type,discount_amount,delivery_fee,service_fee,paid_amount,payment_method,campaign_id,experiment_group,is_marketing_touched
O000000112,SESS000000651,C008041,A0011675,S031,Новосибирск,ios,2025-11-01 09:00:00,2025-11-01,2025-11-01 18:00:00,12,2620.76,none,0.0,0,39.31,2660.07,cash,,no_campaign,0
O000000026,SESS000000148,C002410,A0002250,S067,Москва,ios,2025-11-01 09:18:00,2025-11-01,2025-11-01 11:00:00,7,4767.18,none,0.0,99,71.51,4937.69,card,,no_campaign,0
O000000169,SESS000000872,C006795,A0006500,S011,Москва,ios,2025-11-01 09:19:11,2025-11-01,2025-11-01 19:00:00,18,3112.03,none,0.0,99,0.0,3211.03,card,,no_campaign,0
O000000072,SESS000000433,C008460,A0010616,S057,Москва,web,2025-11-01 09:27:00,2025-11-01,2025-11-01 20:00:00,17,3380.14,none,0.0,99,50.7,3529.84,card,,no_campaign,0
O000000008,SESS000000058,C008434,A0001936,S026,Екатеринбург,ios,2025-11-01 09:31:13,2025-11-01,2025-11-01 22:00:00,13,3501.61,fixed_amount,200.0,99,0.0,3400.61,card,,no_campaign,0
O000000074,SESS000000440,C007510,A0012802,S071,Новосибирск,ios,2025-11-01 09:34:47,2025-11-01,2025-11-01 11:00:00,9,3328.87,none,0.0,149,66.58,3544.45,sbp,,no_campaign,0
O000000019,SESS000000130,C007980,A0008525,S007,Санкт-Петербург,android,2025-11-01 09:43:19,2025-11-01,2025-11-01 22:00:00,13,2555.72,none,0.0,0,51.11,2606.83,card,,no_campaign,0
O000000170,SESS000000874,C005427,A0000839,S024,Новосибирск,ios,2025-11-01 09:52:49,2025-11-01,2025-11-01 19:00:00,6,2392.2,none,0.0,199,47.84,2639.04,card,,no_campaign,0
O000000178,SESS000000921,C006089,A0011244,S034,Санкт-Петербург,android,2025-11-01 09:57:24,2025-11-01,2025-11-01 12:00:00,6,3481.38,none,0.0,99,52.22,3632.6,card,,no_campaign,0
O000000077,SESS000000455,C005227,A0011921,S068,Санкт-Петербург,web,2025-11-01 09:58:59,2025-11-01,2025-11-01 14:00:00,10,1687.31,none,0.0,149,25.31,1861.62,card,,no_campaign,0
O000000002,SESS000000012,C006077,A0011256,S019,Москва,web,2025-11-01 10:08:12,2025-11-01,2025-11-01 18:00:00,13,3264.23,free_delivery,0.0,0,0.0,3264.23,card,,no_campaign,0
O000000062,SESS000000350,C006143,A0010885,S003,Москва,android,2025-11-01 10:09:46,2025-11-01,2025-11-01 13:00:00,9,1766.3,percent,176.63,0,35.33,1625.0,card,,no_campaign,0
O000000054,SESS000000305,C003221,A0008906,S060,Москва,ios,2025-11-01 10:13:25,2025-11-01,2025-11-01 12:00:00,9,3756.2,none,0.0,99,75.12,3930.32,card,,no_campaign,0
O000000121,SESS000000689,C004015,A0005282,S027,Санкт-Петербург,android,2025-11-01 10:22:59,2025-11-01,2025-11-01 11:00:00,2,4098.25,none,0.0,149,81.97,4329.22,card,,no_campaign,0
O000000078,SESS000000461,C001535,A0005656,S075,Москва,android,2025-11-01 10:44:40,2025-11-01,2025-11-01 10:00:00,9,3674.14,none,0.0,149,73.48,3896.62,card,,no_campaign,0
O000000148,SESS000000813,C003794,A0010538,S007,Санкт-Петербург,android,2025-11-01 11:09:30,2025-11-01,2025-11-01 17:00:00,8,3213.54,none,0.0,149,64.27,3426.81,card,,no_campaign,0
O000000036,SESS000000202,C003454,A0006335,S008,Москва,android,2025-11-01 11:20:50,2025-11-01,2025-11-01 20:00:00,10,2050.02,fixed_amount,200.0,149,41.0,2040.02,card,,no_campaign,0
O000000103,SESS000000597,C007599,A0003485,S021,Новосибирск,android,2025-11-01 11:36:03,2025-11-01,2025-11-01 15:00:00,9,2304.01,percent,161.28,0,34.56,2177.29,card,CMP0001,control,1
O000000079,SESS000000467,C004030,A0004417,S072,Москва,ios,2025-11-01 11:49:32,2025-11-01,2025-11-01 19:00:00,13,2730.83,none,0.0,199,0.0,2929.83,card,,no_campaign,0
O000000139,SESS000000769,C003976,A0000165,S059,Екатеринбург,ios,2025-11-01 12:00:31,2025-11-01,2025-11-01 18:00:00,9,2890.1,none,0.0,99,57.8,3046.9,card,,no_campaign,0
O000000127,SESS000000715,C001263,A0010688,S047,Москва,web,2025-11-01 12:10:25,2025-11-01,2025-11-01 19:00:00,12,3980.84,none,0.0,149,59.71,4189.55,card,CMP0001,test,1
O000000089,SESS000000520,C002133,A0010184,S030,Санкт-Петербург,ios,2025-11-01 12:21:27,2025-11-01,2025-11-01 20:00:00,13,1823.75,fixed_amount,200.0,199,0.0,1822.75,card,,no_campaign,0
O000000051,SESS000000276,C007881,A0012566,S012,Москва,ios,2025-11-01 12:30:31,2025-11-01,2025-11-01 18:00:00,14,1762.8,none,0.0,149,35.26,1947.06,card,,no_campaign,0
O000000099,SESS000000578,C008215,A0012997,S073,Москва,web,2025-11-01 12:37:05,2025-11-01,2025-11-01 11:00:00,3,2661.24,fixed_amount,300.0,149,39.92,2550.16,sbp,,no_campaign,0
O000000073,SESS000000436,C002136,A0005494,S058,Екатеринбург,web,2025-11-01 12:39:22,2025-11-01,2025-11-01 15:00:00,9,3173.57,none,0.0,99,63.47,3336.04,card,,no_campaign,0
